Market Name,Open Days,Open Hours 1,Open Days 2,Open Hours 2,Open Months 1,Open Months 2,Location,Zip Code,Location 1,Latitude,Longitude,Type,Products
Coastside Farmers' Market,Saturdays,9:00 a.m. - 1:00 p.m.,,,May - December,,Shoreline Station,94019,"225 Cabrillo Highway Half Moon Bay, CA 94019 ",37.46546441,-122.4337456,Certified Farmers Market,"Dry beans, butter beans, fava beans, and English shelling peas, green beans, beets, broccoli, cabbage, cauliflower, chard, leeks, potatoes, and zucchini."
Millbrae Certified Farmers' Market,Saturdays,8:00 a.m. - 1:00 p.m.,,,Year Round,,,94030,"200 Broadway Millbrae, CA 94030 ",37.59999646,-122.390614,Certified Farmers Market,"Pumpkin, Brussels Sprouts, English Peas, Beans, Artichokes, Fava Beans"
San Mateo Farmers' Market,Saturdays,9:00 a.m. - 1:00 p.m.,,,Year Round,,College of San Mateo,94402,"700 West Hillsdale Boulevard San Mateo, CA 94402 ",37.52992569,-122.314421,Certified Farmers Market,"Organic produces, fresh eggs, dry beans and flowers"
Redwood City Kiwanis Certified Farmers' Market,Saturdays,8:00 a.m. - 12:30 p.m.,,,April - November,,,94063,Arguello Street between Marshall &amp; Brewster Redwood City CA 94063 ,37.48394725,-122.2156468,Certified Farmers Market,"U-Pick (pesticide free) strawberries, boysenberries and olalieberries in season. Farm includes a nice selection of farm animals and antique farm implements."
South San Francisco Certified Farmers' Market,Saturdays,9:00 a.m. - 1:00 p.m.,,,May - October,,Orange Memorial Park,94080,"781 Tennis Drive South San Francisco, CA 94080 ",37.65557592,-122.4270524,Certified Farmers Market,"Arugula, Lettuce, Spinach, Lacinato Kale, three types of Swiss Chard, three types of Beets, Spring Onions, Five varieties of Potatoes, 8 varieties of Zucchini, 5 varieties of Cucumbers, 5 varieties of Italian Garlic, Elephant Garlic, Shallots, Chives, Oregano, Marjoram, Cilantro, Dill, Thyme, Italian Parsley, Sage"
Foster City Charter Square Farmers' Market,Saturdays,9:00 a.m. - 1:00 p.m.,Wednesdays,2:30 p.m. - 6:30 p.m.,Year Round,Year Round,,94404,"791 Beach Park Boulevard Foster City, CA 94404 ",37.54871735,-122.2643009,Certified Farmers Market,"Dry beans, butter beans, fava beans, and English shelling peas, green beans, beets, broccoli, cabbage, cauliflower, chard, leeks, potatoes, and zucchini."
"The Fresh Market, Burlingame",Sundays,9:00 a.m. - 1:30 p.m.,,,March - December,,,94010,"1300 Burlingame Avenue Burlingame, CA 94010 ",37.5784249,-122.3472956,Certified Farmers Market,"Pumpkin, Brussels Sprouts, English Peas, Beans, Artichokes, Fava Beans"
Belmont Certified Farmers' Market,Sundays,10:00 a.m. - 2:00 p.m.,,,Year Round,,,94402,"El Camino Real Belmont, CA 94402 ",37.55334567,-122.3234594,Certified Farmers Market,"Organic produces, fresh eggs, dry beans and flowers"
Menlo Park Certified Farmers' Market,Sundays,9:00 a.m. - 1:00 p.m.,,,Year Round,,,94025,1050 Chestnut Street Menlo Park CA 94025 ,37.45137546,-122.1843561,Certified Farmers Market,"U-Pick (pesticide free) strawberries, boysenberries and olalieberries in season. Farm includes a nice selection of farm animals and antique farm implements."
25th Avenue Certified Farmers' Market,Tuesdays,4:00 p.m. - 8:00 p.m.,,,May - October,,,94403,"194 W 25th Avenue San Mateo, CA 94403 ",37.54330796,-122.3090871,Certified Farmers Market,"Arugula, Lettuce, Spinach, Lacinato Kale, three types of Swiss Chard, three types of Beets, Spring Onions, Five varieties of Potatoes, 8 varieties of Zucchini, 5 varieties of Cucumbers, 5 varieties of Italian Garlic, Elephant Garlic, Shallots, Chives, Oregano, Marjoram, Cilantro, Dill, Thyme, Italian Parsley, Sage"
Kaiser South San Francisco Farmers' Market,Tuesdays,10:00 a.m. - 2:00 p.m.,,,May - October,,,94080,"1200 El Camino Real South San Francisco, CA 94080 ",37.65775605,-122.4379664,Certified Farmers Market,"Dry beans, butter beans, fava beans, and English shelling peas, green beans, beets, broccoli, cabbage, cauliflower, chard, leeks, potatoes, and zucchini."
Kaiser Redwood City Farmers' Market,Wednesdays,10:00 a.m. - 2:00 p.m.,,,April - October,,,94063,"Maple Street Redwood City, CA 94063 ",37.48757377,-122.2230394,Certified Farmers Market,"Pumpkin, Brussels Sprouts, English Peas, Beans, Artichokes, Fava Beans"
Coastside Farmers' Market,Wednesdays,2:30 p.m. - 6:30 p.m.,,,May - December,,Rockaway Beach District,94044,"400 Old County Road Pacifica, CA 94044 ",37.6100178,-122.4943611,Certified Farmers Market,"Organic produces, fresh eggs, dry beans and flowers"
Hot Harvest Nights - San Carlos Certified Farmers' Market,Thursdays,4:00 p.m. - 8:00 p.m.,,,May - September,,,94070,"700 Laurel Street San Carlos, CA 94070 ",37.50508792,-122.259509,Certified Farmers Market,"U-Pick (pesticide free) strawberries, boysenberries and olalieberries in season. Farm includes a nice selection of farm animals and antique farm implements."
The Fresh Market - Burlingame,Thursdays,3:00 p.m. - 7:00 p.m.,,,May - September,,,94010,"1300 Burlingame Avenue Burlingame, CA 94010 ",37.5784249,-122.3472956,Certified Farmers Market,"Arugula, Lettuce, Spinach, Lacinato Kale, three types of Swiss Chard, three types of Beets, Spring Onions, Five varieties of Potatoes, 8 varieties of Zucchini, 5 varieties of Cucumbers, 5 varieties of Italian Garlic, Elephant Garlic, Shallots, Chives, Oregano, Marjoram, Cilantro, Dill, Thyme, Italian Parsley, Sage"
Farmers' Market at Visa,Wednesdays,11:00 a.m. - 2:00 p.m.,,,Year Round,,,94044,"900 Metro Center Foster City, CA 94404",37.5593,-122.2764,Certified Farmers Market,"Dry beans, butter beans, fava beans, and English shelling peas, green beans, beets, broccoli, cabbage, cauliflower, chard, leeks, potatoes, and zucchini."
