Vendor,Type,Product,Price,Store,Address
Pie Ranch,Store,lemon and walnut pies,6.99,Safeway,"2100 Ralston Ave, Belmont, CA 94002"
Pillar Point Harbor,Store,rockfish,4.99 per lb.,Wholefoods,"1250 Jefferson Ave, Redwood City, CA 94062"
Pillar Point Harbor,Store,salmon,6.99 per lb.,Wholefoods,"774 Emerson St, Palo Alto, CA 94301"
Pillar Point Harbor,Store,crab,12.99 per lb.,Wholefoods,"1250 Jefferson Ave, Redwood City, CA 94062"
Bob's Vegetable Stand & Pumpkin Farm,Store,tomato,.99 per lb.,Sprouts,"168 University Ave, Palo Alto, CA 94301"
Bob's Vegetable Stand & Pumpkin Farm,Store,potato,4.99 per bag,Sprouts,"168 University Ave, Palo Alto, CA 94301"
Bob's Vegetable Stand & Pumpkin Farm,Store,onion,3.99 per bag,Sprouts,"168 University Ave, Palo Alto, CA 94301"
Domenico Winery,Store,Red Wine,14.99,Trader Joes,"San Mateo Commons Shopping Center, 1820-22 S Grant St, San Mateo, CA 94402"
Harley Farms Goat Dairy,Store,Chevre,4.99,Lucky,"Brittan Station Shopping Center, 1133 Old County Rd, San Carlos, CA 94070"
Harley Farms Goat Dairy,Store,Feta,3.99,Trader Joes,"1482 El Camino Real, San Carlos, CA 94070"
Harley Farms Goat Dairy,Store,Ricotta ,6.99,Sprouts,"168 University Ave, Palo Alto, CA 94301"
